floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_035,27,2,1,25/11/2018,84,9.713,,,
HO_014,29,1,1,16/10/2017,58,9.788,,,
HO_025,27,1,2,22/02/2018,84,9.85,,,
HO_003,27,1,2,23/07/2017,60,9.878,,,
HO_039,27,2,1,10/12/2018,65,9.897,,,
HO_009,29,1,1,5/09/2017,49,9.933,,,
HO_002,27,1,2,17/07/2017,79,9.936,,,
HO_003,27,1,2,4/08/2017,72,9.963,,,
HO_003,27,1,2,8/08/2017,76,9.98,,,
HO-036,31,2,2,13/11/2018,68,9.999,,,
HO_013,29,1,1,13/10/2017,55,10.026,,,
HO_002,27,1,2,11/07/2017,73,10.032,,,
HO_003,27,1,2,25/07/2017,62,10.114,,,
HO-029,27,2,1,18/08/2018,76,10.132,,,
HO_035,27,2,1,20/11/2018,82,10.146,,,
HO_002,27,1,2,9/07/2017,71,10.188,,,
HO_004,27,1,2,6/08/2017,74,10.252,,,
HO_003,27,1,2,31/07/2017,68,10.283,,,
HO_026,31,2,2,22/07/2018,69,10.339,,,
HO_015,27,1,2,6/11/2017,79,10.349,,,
HO_027,27,2,1,14/08/2018,75,10.399,,,
HO-036,31,2,2,20/11/2018,75,10.416,,,
HO_013,29,1,1,23/10/2017,65,10.438,,,
HO_041,31,2,2,7/01/2019,53,10.495,,,
HO_022,29,1,1,15/01/2018,70,10.508,,,
HO_002,27,1,2,19/07/2017,81,10.534,,,
HO_039,27,2,1,15/12/2018,70,10.56,,,
HO_004,27,1,2,1/09/2017,100,10.586,,,
HO_027,27,2,1,12/08/2018,73,10.618,,,
HO_041,31,2,2,17/01/2019,63,10.627,,,
HO_024,29,1,1,12/02/2018,74,10.66,,,
HO_014,29,1,1,9/10/2017,51,10.705,,,
HO_009,29,1,1,26/09/2017,70,10.724,,,
HO_041,31,2,2,27/01/2019,73,10.733,,,
HO_013,29,1,1,8/11/2017,81,10.7625,,,
HO_002,27,1,2,21/07/2017,83,10.7735,,,
HO-042,27,2,1,27/01/2019,73,10.78,,,
HO_027,27,2,1,20/08/2018,81,10.784,,,
HO_008,29,1,1,9/09/2017,80,10.794,,,
HO_009,29,1,1,20/09/2017,64,10.904,,,
HO_003,27,1,2,6/08/2017,74,10.945,,,
HO_030,27,2,1,9/08/2018,67,11.038,,,
HO_004,27,1,2,12/08/2017,80,11.067,,,
HO_002,27,1,2,1/07/2017,63,11.092,,,
HO-036,31,2,2,15/11/2018,70,11.1,,,
HO_009,29,1,1,2/10/2017,76,11.132,,,
HO_013,29,1,1,6/11/2017,79,11.138,,,
HO_013,29,1,1,18/10/2017,60,11.207,,,
HO_039,27,2,1,18/12/2018,73,11.26,,,
HO_020,27,1,2,15/12/2017,73,11.291,,,
HO-042,27,2,1,8/02/2019,85,11.337,,,
HO_002,27,1,2,23/07/2017,85,11.342,,,
HO_026,31,2,2,30/07/2018,77,11.377,,,
HO_035,27,2,1,12/12/2018,102,11.43,,,
HO_030,27,2,1,23/08/2018,81,11.443,,,
HO_035,27,2,1,17/11/2018,77,11.466,,,
HO_002,27,1,2,5/07/2017,67,11.471,,,
HO_018,29,1,1,20/11/2017,73,11.474,,,
HO_041,31,2,2,20/01/2019,66,11.479,,,
HO_028,31,2,2,7/08/2018,68,11.491,,,
HO-036,31,2,2,17/11/2018,72,11.497,,,
HO_013,29,1,1,31/10/2017,73,11.554,,,
HO-042,27,2,1,18/02/2019,95,11.586,,,
HO-029,27,2,1,20/08/2018,78,11.599,,,
HO_002,27,1,2,4/08/2017,97,11.695,,,
HO_033,31,2,2,8/10/2018,60,11.743,,,
HO_027,27,2,1,11/09/2018,103,11.747,,,
HO_039,27,2,1,7/01/2019,93,11.767,,,
HO_040,31,2,2,18/12/2018,73,11.799,,,
HO-042,27,2,1,4/02/2019,81,11.814,,,
HO_035,27,2,1,6/12/2018,99,11.828,,,
HO_025,27,1,2,15/02/2018,77,11.853,,,
HO_033,31,2,2,15/10/2018,67,11.866,,,
HO_024,29,1,1,30/01/2018,61,11.94,,,
HO-042,27,2,1,25/02/2019,102,11.957,,,
HO_003,27,1,2,2/08/2017,70,11.959,,,
HO_013,29,1,1,13/11/2017,86,12.013,,,
HO_002,27,1,2,2/08/2017,95,12.016,,,
HO_003,27,1,2,10/08/2017,78,12.024,,,
HO_030,27,2,1,28/08/2018,86,12.049,,,
HO_002,27,1,2,3/07/2017,65,12.053,,,
HO_002,27,1,2,29/07/2017,91,12.116,,,
HO_012,27,1,2,8/11/2017,81,12.12,,,
HO-029,27,2,1,11/09/2018,100,12.131,,,
HO_026,31,2,2,18/08/2018,96,12.151,,,
HO-042,27,2,1,20/02/2019,97,12.179,,,
HO_015,27,1,2,13/11/2017,86,12.203,,,
HO_002,27,1,2,25/07/2017,87,12.214,,,
HO_035,27,2,1,1/12/2018,93,12.267,,,
HO_015,27,1,2,31/10/2017,73,12.283,,,
HO_009,29,1,1,18/09/2017,62,12.384,,,
HO_041,31,2,2,15/02/2019,92,12.496,,,
HO_039,27,2,1,4/02/2019,121,12.502,,,
HO_008,29,1,1,13/09/2017,84,12.531,,,
HO_030,27,2,1,11/09/2018,100,12.564,,,
HO_041,31,2,2,24/01/2019,70,12.566,,,
HO_028,31,2,2,28/08/2018,89,12.572,,,
HO_009,29,1,1,22/09/2017,66,12.618,,,
